CCA,Department.Code...Name,CY.Cases,CY.Units,CY.Direct,CY.Indirect,CY.PROGRAM,CY.Revenue, CY.Charges ,CY.Flowcast..
1960,1960 SMH NS WCC6 BMT,0,0,0,0,0,184151.02,492233,1
2210,2210 SMH STRONG WEST URG CR SPENCERPORT,0,0,1644041.7,324818.87,223.15,39437.59,118654,0.975089948
2220,2220 SMH GREECE RIDGE URGENT CARE,0,0,775391.84,129760.59,128.85,34595.95,100654,0.937509342
2230,2230 SMH PERINTON URGENT CARE,0,0,107.4,555.34,0,0,0,1
2300,2300 SMH PC CLINTON CROSSINGS 110,0,0,3519119.78,457231.91,499991.1,2931447.81,4197599.53,0.065685088
2310,2310 SMH PC CLINTON MED ASSOC,0,0,4177131.55,545014.93,573791.46,3287312.38,4805913.95,0.065526509
2320,2320 SMH PC EASTSIDE INT MED,0,0,3998352.93,554945.37,611000.6,3500548.8,5021636.5,0.059554057
2330,2330 SMH PC GATES,0,0,2652729.84,369518.45,386664.93,2172243.54,3190612.72,0.081224276
2340,2340 SMH PC OLSAN,0,0,5611163.24,726590.03,830906.37,4599041.53,6893449.03,0.064402318
2350,2350 SMH PC PANORAMA,0,0,3328877.81,442552.09,474197,2778419.71,3945139.11,0.077511005
2360,2360 SMH PC PULSIFER,0,0,3623939.11,470616.28,519264.64,3003833.75,4271683.09,0.061287112
2370,2370 SMH PC RIMA,0,0,2940914.5,382293.7,388429.34,2271670.24,3314808.93,0.055175873
2380,2380 SMH PC SOUTHVIEW,0,0,4030342.9,542937.34,587569.44,3361339.26,4863256.51,0.056754265
2390,2390 SMH PC TWELVE CORNERS,0,0,1909505.16,253600.92,261350.64,1435432.05,2100512.09,0.066512837
2400,2400 SMH PC CANALSIDE,0,0,2236235.19,310114.41,335713.5,1804768.98,2688740.62,0.057695494
2410,2410 SMH PC MANHATTAN SQ FAM MED,0,0,1810562.06,277074.59,322733.25,1616631.65,2579513.55,0.074607453
2420,2420 SMH PC MEDICAL ASSOC OF HENRIETTA,0,0,2756709.78,396266.69,386716.08,2041649.06,2970615.36,0.070831096
2430,2430 SMH PC NORTH PONDS FAMILY MEDICINE,0,0,2203291.21,326765.8,303186.77,1780438.42,2660557.35,0.046631995
2440,2440 SMH PC BROCKPORT MED,0,0,1308610.54,283155.67,440096.64,1192685.57,1836069.19,0.105739517
2450,2450 SMH GENESEE FAMILY MEDICINE,0,0,2403509.46,360074.35,334261.58,1868056.07,2861513.95,0.075311266
2460,2460 SMH INTERNAL MEDICINE LAKESIDE,0,0,1208706.5,787639.15,141997.88,765347.01,1180563.85,0.105270173
2470,2470 SMH MED ASSOC PENFIELD YMCA,0,0,1390580.52,201460.42,164379.49,795349.21,1229309.43,0.072809271
2480,2480 SMH PC PERINTON PEDIATRICS,0,0,64.46,6.13,0,0,0,0
2490,2490 SMH PC CENTER FOR NUTRITION,0,0,82798.43,9265.39,-11943.95,54130.91,54130.91,0
2500,2500 SMH PC BUSHNELL'S BASIN,0,0,2000665.45,266629.66,260972.7,1662998.14,2311518.77,0.057230751
2810,2810 SMH PHARMACY DANSVILLE,0,0,191195.26,539624.67,67526.1,0,0,1
2830,2830 SMH PHARMACY HOME MEDICAL EQUIPMENT,0,0,217957,24077.04,3640.03,0,0,0
2850,2850 SMH PHARMACY HOME INFUSION,0,0,1900376.42,211621.11,31491.09,854754.8,0,0
2910,2910 SMH FFTHOMPSON INFUSION CENTER,0,0,0,23060.64,8.06,0,0,1
2920,2920 SMH MED ONC INTERLAKES,0,0,11026756.43,1626621.45,1174.27,325654.56,661079,0.967958839
2930,2930 SMH MED ONC GENEVA INTERLAKES,0,0,162331.02,329716.06,549.06,0,0,1
2950,2950 SMH MED ONC MYERS CANCER CENTER,0,0,1332009.33,282593.44,378.76,102560.35,243695,0.909990253
3000,3000 SMH BLOOD BANK,0,0,11933718.49,2582484.95,886457.86,0,1750612,0.974419234
3030,3030 SMH HEMATOLOGY,0,0,1293343.06,428979.17,175419.1,0,942958,0.912292764
3040,3040 SMH MOLECULAR DIAGNOSTIC LAB,0,0,1436660.32,432215.77,21590.46,0,830306,0.798392897
3060,3060 SMH CLINICAL CHEM,0,0,11517281.97,5037237.05,9325204.29,0,3697317,0.970121634
3070,3070 SMH OP LAB - RIDGELAND,0,0,3255919.87,1698019.87,3657156.87,0,1751509,0.9694033
3150,3150 SMH POINT-OF-CARE TESTING,0,0,737518.67,158094.64,0.75,0,0,1
3160,3160 SMH REFERENCE LAB,0,0,8430906.63,1001598.49,458620.94,0,2983698,0.826961098
3180,3180 SMH LSS-PHLEBOTOMY,0,0,9620025.27,2212654.01,2461054.8,0,327187,0.95984531
3200,3200 SMH TOXICOLOGY LAB,0,0,1572591.72,665180.86,515435.66,0,3725259,0.822716303
3220,3220 SMH AP-AUTOPSY,0,0,489994.13,382294,4081.95,0,748911,0.272381186
3240,3240 SMH AP-SURGPATH,0,0,4068365.85,1856259.53,370062.75,0,1444948,0.946861572
3260,3260 SMH AP-CYTOPATH,0,0,1912673.07,564836.57,191837.46,0,907840,0.882719928
3280,3280 SMH AP-IMMUNOPATH,0,0,1430203.01,411613.13,144000.92,0,1077753,0.927376369
3300,3300 SMH AP-NEUROPATH,0,0,246443.79,110011.36,13764.46,0,89832,0.926486753
3320,3320 SMH BIO GENETICS LAB,0,0,223012.27,127823.24,31870.17,0,147319,0.63084819
3330,3330 SMH CYTOGENETICS LAB,0,0,3085814.32,610476.17,62936.02,0,480525,0.90643139
3360,3360 SMH ENDO/RIA LAB,0,0,0,112436.98,0.02,0,0,1
3380,3380 SMH MICROBIOLGY/ IMMUNOSR,0,0,15709630.33,3851779.58,3310139.99,0,17287826,0.817568775
3420,3420 SMH SURG TISSUE TYPING,0,0,1585838.13,354834.81,23271.84,0,62538,0.986280139
3998,3998 SMH DERM PATHOLOGY TRANSFER,0,0,0,0,0,-1480111,0,0
3999,3999 SMH PATHOLOGY PRAC PLAN TRANSFER,0,0,0,0,0,-10536212.91,0,0
4070,4070 SMH NSURG RADIOLOGY,0,0,569449.06,121018.19,145858.32,0,0,1
4090,4090 SMH IMAGING RIVER ROAD,0,0,4670335.06,5861337.99,193.71,0,0,1
4200,4200 SMH O/P PHARMACY,0,0,138128616.4,12737703.69,2676129.29,269452135.7,0,0
4210,4210 SMH INFECTIOUS DIS PHARM,0,0,5270784.19,469118.42,102812.09,10578668.18,0,0
4220,4220 SMH PHARMACY (I/P),0,0,23626328.31,9309311.58,1658895.01,-1357871.76,1357871.76,1
4230,4230 SMH STRONG WEST PHARMACY,0,0,532587.81,195730.24,90587.81,388963.49,388963.49,0
4310,4310 SMH ENDO CENTER at SAWGRASS,0,0,5681080.07,1181265.96,301433.25,3171765.17,12759491.55,0.580769207
4330,4330 SMH ASC - SAWGRASS,0,0,17244784.83,5415487.34,1455628.93,968908.27,968908.27,1
4400,4400 SMH EPILEPSY,0,0,3434632.2,875353.95,350346.19,2248857.31,7191798.93,0.435654809
4410,4410 SMH GENERAL NEUROLOGY,0,0,1559132.49,193399.86,138567.91,1429552.48,3273966.96,0.189395107
4411,4411 SMH NEURO IMMUNOLOGY,0,0,546923.4,78663.56,91061.94,876366.51,1763613.28,0.197956316
4412,4412 SMH NEURO ONCOLOGY,0,0,443187.29,54611.69,32168.33,316358.57,628359,0.222537375
4413,4413 SMH NEUROMEDICINE ICU,0,0,874525.95,133787.7,0.11,1061845.32,3038037.81,1
4420,4420 SMH NEUROMUSCULAR DISEASE,0,0,1992271.01,560449.42,418841.6,615338.42,1406580.4,0.851721176
4470,4470 SMH NEURO MIGRAINE CTR,0,0,1058340.73,761329.35,195250.71,308604.63,590867.59,0.894924013
4480,4480 SMH MOVEMENT DISORDERS,0,0,1960221.08,499409.45,306245.54,789053.55,1791141.48,0.780839679
4490,4490 SMH MEMEORY CARE PROGRAM,0,0,620490.11,76933.45,39.17,338354.63,873152.54,0.229948527
4500,4500 SMH ENDOSCOPY,0,0,13710338.59,3835286.26,426764.8,4217922.97,20204655.09,0.638385427
4550,4550 SMH PARKES ASTHMA CENTER,0,0,1899531.88,321537.36,61696.28,929029.87,2344332.98,0.601740011
4560,4560 SMH PULMONARY DISEASE UNIT - SMH,0,0,5968666.67,1551157,215550.39,4506864.64,16074704.89,0.376054482
4660,4660 SMH AC CARDIOLOGY,0,0,418.89,579172.91,0.11,0,0,0
4810,4810 SMH PEDS PULMONARY,0,0,1231069.16,144344.7,26486.14,696034.98,1599712.05,0.019783712
4811,4811 SMH PEDS ENDO,0,0,1464272.79,175302.44,50619.91,1325580.58,2591725,0.02854368
4812,4812 SMH PEDS RHEUMATOLOGY,0,0,560807.57,70762.32,15499.19,420131.55,803362.02,0.004231658
4813,4813 SMH PEDS GASTROINTESTINAL,0,0,3843793.82,391458.29,136.32,2114813.1,5288861,0.006028262
4814,4814 SMH PEDIATRIC ENDOSCOPY SUITE,0,0,201467.64,125338.75,1.47,0,0,1
4820,4820 SMH PED TRT CTR/SPEC,0,0,1744103.88,326423.35,249840.67,-197727.95,28030,0.998442826
4840,4840 SMH AIDS CTR PED,0,0,10657.4,2007.83,621.13,1883.63,4085,0.744271942
4850,4850 SMH PEDIATRIC HEALTH HOME,0,0,598559.57,72453.65,0.09,328242.5,328242.5,0
4880,4880 SMH ADULTS W/ SPECIAL HEALTHCARE NEEDS (ASHCN),0,0,1304483.19,202881.37,8847.15,378419.49,799406.53,0.303718765
4900,4900 SMH RADIATION ONCOLOGY,0,0,12696541.38,5969086.01,555543.08,583958.17,2216011,0.975476714
4920,4920 SMH MEDICAL ONCOLOGY,0,0,23309637.78,10043954.3,3850.76,3358843.81,8446529.12,0.85
4950,4950 SMH BREAST CARE CTR - ONCOLOGY SRVS,0,0,1252392.31,1020626.88,235.86,84480.34,188243,0.901602904
4970,4970 SMH SMH RAD ONC at PLUTA,0,0,3282799.68,832060.31,119.24,128437.1,395963,0.984949149
4980,4980 SMH RAD ONC BATAVIA,0,0,1549613.34,977294.25,69.49,98426.77,354819,0.973691629
5000,5000 SMH ORTHOPEDIC SHOP,0,0,3646928.14,484958.01,190803,0,0,1
5060,5060 SMH REHABILITATION,0,0,2246521.39,410113.48,0.95,137041.86,409392.27,0.677888205
5100,5100 SMH O/P REHAB - SMH,0,0,41229.02,9763.71,0.2,14373.65,40863.09,0.852901429
5110,5110 SMH O/P REHAB - CLCRS,0,0,718904.74,139494.08,47.45,59073.12,152495.31,0.941410457
5500,5500 SMH AIDS CENTER,0,0,1401544.88,848196.54,40579.86,202027.22,595563.39,0.840053086
5590,5590 SMH STRONG SPECIALTY SHOP,0,0,12.6,1.02,0,0,0,1
6020,6020 SMH OPD-OB/GYN,22401,0,5398754.66,1078476.73,2285672.34,2989558.86,6990312.42,0.223966548
6100,6100 SMH NEURO BALANCE LAB,0,0,268138.69,54108.03,22307.32,25047.94,47047,0.926340593
6110,6110 SMH STROKE SERVICES,0,0,2690573.03,307297.15,160926.63,1513720.03,4170144.32,0.045123344
6200,6200 SMH OPD-PED NEUROLOGY,0,0,4033788.46,2082037.83,668906.61,1637480.45,3414613.5,0.873063442
6210,6210 SMH PEDS SLEEP CENTER,0,0,2155277.91,629454.66,208105.85,17736.15,135029,0.982191786
6220,6220 SMH OPD-PEDS,0,0,5056325.13,4136262.72,2233185.58,3852895.84,9674836.24,0.073632921
6230,6230 SMH PEDS CRANIALFACIAL CLINIC,0,0,329845.13,50032.7,4299,49917.16,110515,0.412219912
6410,6410 SMH OPD-OCC MED,0,0,1222374.55,350166.51,505.54,783610,783610,0.355506924
6420,6420 SMH OPD-EYE,0,0,3972414.24,2435549.23,946574.81,340284,340284,0.984775235
6480,6480 SMH OPD-DENTISTRY,0,0,2656676.22,1508449.87,2478097.92,2766685.15,3163101,0.323916598
6501,6501 SMH AIR RED CREEK,0,0,4982410.46,657595.41,78656.88,3260244.33,7135674.4,0.162502133
6520,6520 SMH OPD-DERMATOLOGY,0,0,271964.37,516729.82,5572.12,24757.92,75575.66,0.114869754
6521,6521 SMH DERMATOLOGY COLLEGE TOWN SURGERY,0,0,103977.71,18244.59,14075.31,61121.88,188310,0.127178577
6522,6522 SMH DERMATOLOGY RED CREEK SURGERY,0,0,75775.93,15636.11,18792.65,82993.81,248792.1,0.136381434
6523,6523 SMH DERMATOLOGY RED CREEK GENERAL,0,0,61358.02,11384.97,10008.22,42825.39,134452.21,0.123725684
6524,6524 SMH DERMATOLOGY BROCKPORT,0,0,40143.69,7312.74,4593.23,21385.74,61612.59,0.124517606
6550,6550 SMH SLEEP LAB,0,0,4029967.05,748825.9,8052.24,150768.36,361991,0.964212528
6580,6580 SMH PAIN TREAT CENTER,0,0,3790820.19,774314.63,422156.52,1757145.7,6107977.88,0.610230768
6600,6600 SMH SPORTS MED-BRIGHTON,0,0,2872280.49,692160.02,246379.4,0,0,1
6610,6610 SMH SPORTS MED-GREECE,0,0,1243773.38,261273.6,91116.47,0,0,1
6630,6630 SMH USM - EAST SIDE,0,0,1900726.99,405845.25,142131.57,0,0,1
6640,6640 SMH NUTRITIONAL SUPPORT SVC,0,0,863999.64,124539.18,483.4,55013.57,160992,0.790298819
6650,6650 SMH ENDOCRINE MNT,0,0,772545.33,98481.92,3044.24,-136336.9,1411775.72,0.223140809
6720,6720 SMH OPD-MEDICINE,0,0,4989552.66,2377181.12,1360265.35,2013879.25,4951622.08,0.39618114
6740,6740 SMH OPD-SURGERY,0,0,896030.17,931161.56,583959.77,178676.99,593294.5,0.753069743
6750,6750 SMH WOUND HEALING CENTER,0,0,1823471.5,297353.47,146376.72,11450.52,531560.76,0.907245277
