Group SMH GLOBAL OP SUMMARY,Group SMH_OP_ASC_OBS_LAB,Department Code & Name,CFY CASES,PFY CASES,CFY UNITS,PFY UNITS, CFY TOTAL CHARGES ,PFY TOTAL CHARGES, CFY NET REVENUE ,PFY NET REVENUE,CFY DIRECT COST,PFY DIRECT COST,CFY DIRECT MARGIN,PFY DIRECT MARGIN,CFY PROGRAM COST,PFY PROGRAM COST,CFY INDIRECT/ OH COST,PFY INDIRECT/ OH COST,CFY NET MARGIN,PFY NET MARGIN
001 Medicine,OUTPATIENT,4310 SMH ENDO CENTER at SAWGRASS,8266,8802,40971,17826,17482836,15076612,6652450,6452613,3364171,2904645,3288280,3547968,174853,136732,685196,532002,2428231,2879234
001 Medicine,OUTPATIENT,4500 SMH ENDOSCOPY,7132,7315,76287,20211,24972612,19794236,8492071,7621276,7065544,5120292,1426527,2500984,193771,166129,1741360,1386265,-508603,948591
001 Medicine,OUTPATIENT,4550 SMH PARKES ASTHMA CENTER,5004,5083,21833,17086,3326604,3328752,1110564,1108709,1338258,1130376,-227694,-21667,36815,33108,191844,184034,-456353,-238809
001 Medicine,OUTPATIENT,4560 SMH PULMONARY DISEASE UNIT - SMH,5507,5609,15283,15294,8349674,7440942,2398373,2496587,1927288,1531759,471084,964828,69598,67592,500808,489248,-99321,407989
001 Medicine,OUTPATIENT,4740 SMH KIDNEY TRANSPLANT,4,0,4,,8828,,1909,,0,,1909,,0,,0,,1909,
001 Medicine,OUTPATIENT,5500 SMH AIDS CENTER,3944,4246,17777,12058,2956129,3460973,690505,1005093,1173242,1434106,-482737,-429013,33914,43540,708862,873123,-1225513,-1345675
001 Medicine,OUTPATIENT,6500 SMH AIR INFUSION CENTER,5051,4214,592859,457161,55100767,47243502,23738000,22255759,12146113,10577205,11591887,11678554,563464,534274,2730595,2477255,8297828,8667025
001 Medicine,OUTPATIENT,6501 SMH AIR RED CREEK,3171,3067,13988,16959,1409114,1459258,537810,616609,830826,914667,-293016,-298059,12700,4223,106156,117517,-411871,-419799
001 Medicine,OUTPATIENT,6650 SMH ENDOCRINE MNT,1385,1063,2276,2205,402871,276995,152040,105188,172765,698123,-20726,-592935,675,3782,21844,99665,-43245,-696382
001 Medicine,OUTPATIENT,6720 SMH OPD-MEDICINE,12059,17046,30513,43427,3136735,4630376,1092217,1674331,1948938,2951523,-856721,-1277192,531745,1257578,928456,2079025,-2316922,-4613795
