CCA,Department.Code...Name,PY.Cases,PY.Units,PY.Direct,PY.Indirect,PY.PROGRAM,PY.Revenue,PY.Charges,PY.Flowcast..
2300,2300 SMH PC CLINTON CROSSINGS 110,0,0,3460274.14,494901.87,499056.31,2932347.907,4244571.38,0.064887482
2310,2310 SMH PC CLINTON MED ASSOC,0,0,4228996.58,597409.38,543450.54,3282149.38,4626133.81,0.067581594
2320,2320 SMH PC EASTSIDE INT MED,0,0,3946707.74,593848.44,537578.2,3188723.134,4636249.56,0.05421752
2330,2330 SMH PC GATES,0,0,2651808.58,409244.35,404223.1,2204660.325,3369946,0.086961482
2340,2340 SMH PC OLSAN,0,0,5492665.72,771794.01,842559.4,4791746.544,7184633.12,0.060053736
2350,2350 SMH PC PANORAMA,0,0,3208003.18,462318.56,465000.72,2737317.489,3886493.81,0.074391728
2360,2360 SMH PC PULSIFER,0,0,3863692.87,547662.99,558895.57,3384986.369,4775597,0.054467357
2370,2370 SMH PC RIMA,0,0,2676140.68,375865.26,357481.22,2080696.533,3099341.62,0.054639891
2380,2380 SMH PC SOUTHVIEW,0,0,3908152.26,570785.43,564850.76,3337097.7,4843872,0.054838459
2390,2390 SMH PC TWELVE CORNERS,0,0,1612565.81,237258.02,188854.37,1098853.918,1630995,0.056129702
2400,2400 SMH PC CANALSIDE,0,0,1918704.64,284427.65,243401.77,1375805.14,2080470,0.063160361
2410,2410 SMH PC MANHATTAN SQ FAM MED,0,0,1905927.65,295615.05,221501.1,1143350.676,1904195,0.069626953
2420,2420 SMH PC MEDICAL ASSOC OF HENRIETTA,0,0,2208034.14,362782.35,313642.66,1850946.63,2661098.81,0.064793629
2430,2430 SMH PC NORTH PONDS FAMILY MEDICINE,0,0,2014338.39,332027.81,262475.58,1520001.845,2281865,0.049409494
2440,2440 SMH PC BROCKPORT MED,0,0,1102784.46,218163.87,406970.84,1000533.219,1573763.81,0.115537645
2450,2450 SMH GENESEE FAMILY MEDICINE,0,0,2066936.69,346755.65,335398.87,1828742.691,2891327.81,0.062481388
2460,2460 SMH INTERNAL MEDICINE LAKESIDE,0,0,1257991.95,370856.8,154542.81,790461.5053,1261982,0.105378679
2470,2470 SMH MED ASSOC PENFIELD YMCA,0,0,1171431.43,190993.2,119702.65,691262.7749,1028553,0.065558084
2480,2480 SMH PC PERINTON PEDIATRICS,0,0,,0,0,0,0,0
2490,2490 SMH PC CENTER FOR NUTRITION,0,0,220697.95,26529.99,16438.82,152341.51,152341.51,0
2500,2500 SMH PC BUSHNELL'S BASIN,0,0,184920.35,31281.91,41794.93,260665.0816,372370,0.024366855
2560,2560 SMH PC MEDICAL HOME,0,0,,0,0,0,0,1
2810,2810 SMH PHARMACY DANSVILLE,0,0,624154.29,126870.08,20112.9,0,0,1
2930,2930 SMH MED ONC GENEVA INTERLAKES,0,0,-0.6,43338.98,220.63,0,0,1
2950,2950 SMH MED ONC MYERS CANCER CENTER,0,0,1134690.4,211080.98,464.07,0,0,0
3000,3000 SMH BLOOD BANK,0,0,10885006.44,2553480.52,846782.68,0,0,0.922251356
3030,3030 SMH HEMATOLOGY,0,0,1459186.43,457013.08,179597.58,0,0,0.910323326
3040,3040 SMH MOLECULAR DIAGNOSTIC LAB,0,0,1077274.85,453376.04,208501.63,0,0,0.814767459
3060,3060 SMH CLINICAL CHEM,0,0,11712422.97,4504069.92,5580810.01,0,0,0.964144446
3070,3070 SMH OP LAB - RIDGELAND,0,0,2957423.64,1448510.96,3039638.77,0,0,0.977345665
3080,3080 SMH 211 BAILEY ROAD,0,0,200633.98,20438.53,0.01,0,0,1
3150,3150 SMH POINT-OF-CARE TESTING,0,0,705414.57,215387.65,0.99,0,0,0.825685202
3160,3160 SMH REFERENCE LAB,0,0,7971750.96,1027361.25,278101.45,0,0,0.969250831
3180,3180 SMH LSS-PHLEBOTOMY,0,0,9191702.31,2156681.64,1549456.47,0,0,0.809855458
3200,3200 SMH TOXICOLOGY LAB,0,0,1365920.8,806043.18,1193327.66,0,0,0.16624523
3220,3220 SMH AP-AUTOPSY,0,0,496699.66,558260.68,5003.37,0,0,0.950531408
3240,3240 SMH AP-SURGPATH,0,0,3851680.61,1658757.6,337678.6,0,0,0.852731305
3260,3260 SMH AP-CYTOPATH,0,0,1607311.16,544587.25,173355.3,0,0,0.816086739
3280,3280 SMH AP-IMMUNOPATH,0,0,1375696.65,367265.95,129978.38,0,0,0.950480005
3300,3300 SMH AP-NEUROPATH,0,0,265380.34,115886.31,12316.61,0,0,0.562235594
3320,3320 SMH BIO GENETICS LAB,0,0,535938.94,184783.41,54918.3,0,0,0.896108912
3330,3330 SMH CYTOGENETICS LAB,0,0,2829915.63,850589.89,1232769.29,0,0,1
3340,3340 SMH ENDOCRINOLOGY LAB,0,0,,0,0,0,0,0.848953274
3360,3360 SMH ENDO/RIA LAB,0,0,14.19,126337.99,25268.57,0,0,0.960847011
3380,3380 SMH MICROBIOLGY/ IMMUNOSR,0,0,14517800.51,4048705.67,5429469.66,0,0,0.848953274
3420,3420 SMH SURG TISSUE TYPING,0,0,1521307.22,388821.7,25877.03,0,0,0.960847011
3998,3998 SMH DERM PATHOLOGY TRANSFER,0,0,0,0,0,-651687,0,0
3999,3999 SMH PATHOLOGY PRAC PLAN TRANSFER,0,0,0,0,0,-4349479,0,0
4070,4070 SMH NSURG RADIOLOGY,0,0,574618.76,134941.82,161527.03,0,0,1
4090,4090 SMH IMAGING RIVER ROAD,0,0,756563.73,676643.47,4.97,0,0,1
4200,4200 SMH O/P PHARMACY,0,0,109081810.3,11898710.69,3553187.72,201605323.6,201605323.6,0
4210,4210 SMH INFECTIOUS DIS PHARM,0,0,5074669.44,538039.99,163486.77,10371798.59,10371798.59,0
4220,4220 SMH PHARMACY (I/P),0,0,22062801.31,5924834.84,1412545.77,-1892414.83,-1892414.83,1
4230,4230 SMH STRONG WEST PHARMACY,0,0,554666.54,110717.57,125186.18,528975.39,528975.39,0
